hour,production,consumption
2023-06-01 00:00,0.0,1.2
2023-06-01 01:00,0.0,0.95
2023-06-01 02:00,0.0,0.87
2023-06-01 03:00,0.15,0.84
2023-06-01 04:00,0.7,1.29
2023-06-01 05:00,1.95,1.1
2023-06-01 06:00,2.75,1.25
2023-06-01 07:00,4.57,1.06
2023-06-01 08:00,5.36,0.72
2023-06-01 09:00,6.48,0.74
2023-06-01 10:00,7.37,0.89
2023-06-01 11:00,7.5,1.39
2023-06-01 12:00,8.39,0.65
2023-06-01 13:00,6.84,0.95
2023-06-01 14:00,7.59,0.92
2023-06-01 15:00,6.41,1.14
2023-06-01 16:00,5.72,1.4
2023-06-01 17:00,5.19,0.75
2023-06-01 18:00,4.03,1.37
2023-06-01 19:00,2.43,0.4
2023-06-01 20:00,1.6,0.9
2023-06-01 21:00,0.75,0.96
2023-06-01 22:00,0.16,0.79
2023-06-01 23:00,0.0,0.52
2023-06-02 00:00,0.0,1.3
2023-06-02 01:00,0.0,0.54
2023-06-02 02:00,0.0,1.4
2023-06-02 03:00,0.14,0.53
2023-06-02 04:00,0.78,1.38
2023-06-02 05:00,1.93,0.96
2023-06-02 06:00,2.83,1.3
2023-06-02 07:00,4.45,1.04
2023-06-02 08:00,5.71,1.28
2023-06-02 09:00,6.52,0.78
2023-06-02 10:00,7.1,0.43
2023-06-02 11:00,7.12,0.66
2023-06-02 12:00,8.39,0.64
2023-06-02 13:00,6.92,0.49
2023-06-02 14:00,7.85,0.5
2023-06-02 15:00,7.36,0.48
2023-06-02 16:00,6.25,1.49
2023-06-02 17:00,4.8,1.23
2023-06-02 18:00,3.99,1.18
2023-06-02 19:00,2.97,1.2
2023-06-02 20:00,1.46,1.13
2023-06-02 21:00,0.71,0.59
2023-06-02 22:00,0.14,0.46
2023-06-02 23:00,0.0,0.44
2023-06-03 00:00,0.0,0.71
2023-06-03 01:00,0.0,0.43
2023-06-03 02:00,0.0,0.72
2023-06-03 03:00,0.16,0.7
2023-06-03 04:00,0.78,0.88
2023-06-03 05:00,1.82,0.77
2023-06-03 06:00,2.94,0.7
2023-06-03 07:00,4.57,1.4
2023-06-03 08:00,5.47,0.45
2023-06-03 09:00,5.8,1.23
2023-06-03 10:00,7.24,0.77
2023-06-03 11:00,7.12,1.12
2023-06-03 12:00,8.15,0.63
2023-06-03 13:00,7.91,1.15
2023-06-03 14:00,6.66,0.85
2023-06-03 15:00,6.95,1.19
2023-06-03 16:00,6.46,1.35
2023-06-03 17:00,4.52,0.72
2023-06-03 18:00,4.07,0.82
2023-06-03 19:00,2.52,0.97
2023-06-03 20:00,1.58,0.51
