hour,production,consumption
2023-06-01 00:00,0.0,0.71
2023-06-01 01:00,0.0,0.85
2023-06-01 02:00,0.0,1.19
2023-06-01 03:00,0.04,1.04
2023-06-01 04:00,0.21,0.58
2023-06-01 05:00,0.46,1.28
2023-06-01 06:00,0.74,0.9
2023-06-01 07:00,1.14,1.17
2023-06-01 08:00,1.51,0.9
2023-06-01 09:00,1.47,0.62
2023-06-01 10:00,1.86,1.09
2023-06-01 11:00,1.9,0.85
2023-06-01 12:00,2.12,0.97
2023-06-01 13:00,1.84,0.82
2023-06-01 14:00,1.81,0.95
2023-06-01 15:00,1.96,1.37
2023-06-01 16:00,1.51,0.5
2023-06-01 17:00,1.22,1.48
2023-06-01 18:00,0.97,0.81
2023-06-01 19:00,0.74,1.38
2023-06-01 20:00,0.37,0.45
2023-06-01 21:00,0.18,0.43
2023-06-01 22:00,0.04,1.46
2023-06-01 23:00,0.0,0.86
2023-06-02 00:00,0.0,0.57
2023-06-02 01:00,0.0,0.82
2023-06-02 02:00,0.0,1.12
2023-06-02 03:00,0.04,1.04
2023-06-02 04:00,0.22,0.47
2023-06-02 05:00,0.51,1.35
2023-06-02 06:00,0.79,1.34
2023-06-02 07:00,1.08,0.43
2023-06-02 08:00,1.52,0.49
2023-06-02 09:00,1.46,0.82
2023-06-02 10:00,1.88,0.54
2023-06-02 11:00,2.03,1.05
2023-06-02 12:00,2.0,0.71
2023-06-02 13:00,1.92,0.65
2023-06-02 14:00,1.91,0.64
2023-06-02 15:00,1.91,1.03
2023-06-02 16:00,1.74,1.06
2023-06-02 17:00,1.26,0.84
2023-06-02 18:00,0.98,0.9
2023-06-02 19:00,0.74,0.41
2023-06-02 20:00,0.44,0.91
2023-06-02 21:00,0.19,0.52
2023-06-02 22:00,0.04,1.09
2023-06-02 23:00,0.0,0.65
